sku,mpn,manufacturer,description,datasheet,rated_current,poles,packaging_uom,weight_kg,order_code
S201M-B6UC,S201M-B6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,6 A,1,10 pcs,0.125 kg,2CDS271061R0065
S201M-B10UC,S201M-B10UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,10 A,1,10 pcs,0.125 kg,2CDS271061R0105
S201M-B13UC,S201M-B13UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,13 A,1,10 pcs,0.125 kg,2CDS271061R0135
S201M-B16UC,S201M-B16UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,61 A,1,10 pcs,0.125 kg,2CDS271061R0165
S201M-B20UC,S201M-B20UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,20 A,1,10 pcs,0.125 kg,2CDS271061R0205
S201M-B25UC,S201M-B25UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,52 A,1,10 pcs,0.125 kg,2CDS271061R0255
S201M-B32UC,S201M-B32UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,32 A,1,10 pcs,0.125 kg,2CDS271061R0325
S201M-B40UC,S201M-B40UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,40 A,1,10 pcs,0.125 kg,2CDS271061R0405
S201M-B50UC,S201M-B50UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,50 A,1,10 pcs,0.125 kg,2CDS271061R0505
S201M-B63UC,S201M-B63UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,63 A,1,10 pcs,0.125 kg,2CDS271061R0635
S202M-B6UC,S202M-B6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,6 A,2,5 pcs,250 g,2CDS272061R0065
S202M-B10UC,S202M-B10UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,10 A,2,5 pcs,0.250 kg,2CDS272061R0105
S202M-B13UC,S202M-B13UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,31 A,2,5 pcs,0.250 kg,2CDS272061R0135
S202M-B16UC,S202M-B16UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,16 A,2,5 pcs,0.250 kg,2CDS272061R0165
S202M-B20UC,S202M-B20UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,02 A,2,5 pcs,0.250 kg,2CDS272061R0205
S202M-B25UC,S202M-B25UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,25 A,2,5 pcs,0.250 kg,2CDS272061R0255
S202M-B32UC,S202M-B32UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,32 A,2,5 pcs,0.250 kg,2CDS272061R0325
S202M-B40UC,S202M-B40UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,,2,5 pcs,0.250 kg,2CDS272061R0405
S202M-B50UC,S202M-B50UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,50 A,2,5 pcs,0.250 kg,2CDS272061R0505
S202M-B63UC,S202M-B63UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,36 A,2,5 pcs,0.250 kg,2CDS272061R0635
S203M-B6UC,S203M-B6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,6 A,3,1 pcs,0.375 kg,2CDS273061R0065
S203M-B10UC,S203M-B10UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,10 A,3,1 pcs,0.375 kg,2CDS273061R0105
S203M-B13UC,S203M-B13UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,13 A,3,Each,0.375 kg,2CDS273061R0135
S203M-B16UC,S203M-B16UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,16 A,3,1 pcs,375 g,2CDS273061R0165
S203M-B20UC,S203M-B20UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,20 A,3,1 pcs,0.375 kg,2CDS273061R0205
S203M-B25UC,S203M-B25UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,25 A,3,1 pcs,375 g,2CDS273061R0255
S203M-B32UC,S203M-B32UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,32 A,3,1 pcs,0.375 kg,2CDS273061R0325
S203M-B40UC,S203M-B40UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,40 A,3,1 pcs,0.375 kg,2CDS273061R0405
S203M-B50UC,S203M-B50UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,50 A,3P,1 pcs,0.375 kg,2CDS273061R0505
S203M-B63UC,S203M-B63UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,63 A,3,1 pcs,0.375 kg,2CDS273061R0635
S204M-B6UC,S204M-B6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,60 A,4,1 pcs,0.500 kg,2CDS274061R0065
S204M-B10UC,S204M-B10UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,10 A,4,Each,0.500 kg,2CDS274061R0105
S204M-B13UC,S204M-B13UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,13 A,4P,1 pcs,0.500 kg,2CDS274061R0135
S204M-B16UC,S204M-B16UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,,4,1 pcs,0.500 kg,2CDS274061R0165
S204M-B20UC,S204M-B20UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,02 A,4,1 pcs,0.500 kg,2CDS274061R0205
S204M-B25UC,S204M-B25UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,25 A,4,1 pcs,0.500 kg,2CDS274061R0255
S204M-B32UC,S204M-B32UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,32 A,4,1 pcs,0.500 kg,2CDS274061R0325
S204M-B40UC,S204M-B40UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,40 A,4,1 pcs,0500 kg,2CDS274061R0405
S204M-B50UC,S204M-B50UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,50 A,4,1 pcs,500 g,2CDS274061R0505
S204M-B63UC,S204M-B63UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,63 A,4,1 pcs,0.500 kg,2CDS274061R0635
S201M-C0.5UC,S201M-C0.5UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,0.5 A,1,10 pcs,0.125 kg,2CDS271061R0984
S201M-C1UC,S201M-C1UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,1 A,1,10 pcs,0.125 kg,2CDS271061R0014
S201M-C1.6UC,S201M-C1.6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,1.6 A,1,10 pcs,0125 kg,2CDS271061R0974
S201M-C2UC,S201M-C2UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,2 A,1,10 pcs,0.125 kg,2CDS271061R0024
S201M-C3UC,S201M-C3UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,3 A,1,10 pcs,0.125 kg,2CDS271061R0034
S201M-C4UC,S201M-C4UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,4 A,1P,10 pcs,0.125 kg,2CDS271061R0044
S201M-C6UC,S201M-C6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,6 A,1,10 pcs,0.125 kg,2CDS271061R0064
S201M-C8UC,S201M-C8UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,80 A,1,10 pcs,0.125 kg,2CDS271061R0084
S201M-C10UC,S201M-C10UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,10 A,1,10 pcs,125 g,2CDS271061R0104
S201M-C13UC,S201M-C13UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,13 A,1,10 pcs,0.125 kg,2CDS271061R0134
